Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-1,486,279,19,15,10,17,0,m
User-2,401,"5,509",342,360,440,428,0,f
User-3,463,453,293,65,68,149,4,f
User-4,154,"1,231","1,477",53,22,35,3,m
User-5,786,"9,620",421,623,1299,544,0,m
User-6,490,"7,702",379,190,198,188,4,f
User-7,405,"1,282",370,123,135,145,2,m
User-8,638,"2,312",365,466,511,318,0,m
User-9,73,"1,819",852,343,435,333,0,f
User-10,600,"2,056",606,130,102,160,1,f
User-11,57,"2,403","1,663",912,740,1005,0,f
User-12,400,"7,355","4,285",943,1102,1252,1,m
User-13,392,"9,071",189,757,1209,733,0,m
User-14,"1,095",681,"1,238",50,69,33,1,m
User-15,199,"2,826",327,277,337,296,0,m
User-16,232,"1,016","1,066",190,231,230,0,f
User-17,691,"2,864",447,94,97,94,1,m
User-18,718,955,619,56,75,126,6,f
User-19,648,"6,046","1,244",84,41,69,1,m
User-20,537,409,430,37,9,24,5,f
User-21,155,187,281,10,12,6,4,m
User-22,985,266,33,16,13,6,2,f
User-23,330,"1,364","1,150",241,220,240,9,f
User-24,108,391,175,33,24,30,9,m
User-25,379,775,712,99,235,61,5,f
User-26,378,"2,425","1,349",164,213,97,9,f
User-27,986,"5,263",153,166,175,127,9,f
User-28,129,"2,625",852,362,359,366,9,m
User-29,200,536,190,91,54,56,7,f
User-30,434,849,"1,255",157,110,83,8,m
User-31,246,891,348,140,154,158,9,f
User-32,153,"1,432",811,245,212,205,9,m
User-33,734,"1,072",191,41,153,185,6,f
User-34,336,"2,574",815,109,94,80,7,m
User-35,465,897,765,121,176,139,9,m
User-36,433,531,371,79,51,86,8,m
User-37,98,"1,192","7,497",81,46,208,8,m
User-38,140,"1,693","6,260",22,27,50,0,f
User-39,429,625,"1,286",8,14,6,0,m
User-40,139,990,372,327,216,213,6,m
User-41,71,350,95,43,34,34,1,m
User-42,470,562,533,8,20,9,1,m
User-43,92,"1,214",260,228,66,84,3,m
